exercise	pali sijelo
stick	palisa
cloud	ko sewi
shirt	len
vision	lukin
clock	ilo tenpo
garden	ma kasi
white	walo
pot	kasi nasa
baby	jan lili
music	kalama musi
spider	pipi
coconut	kili kiwen suli
cap	len lawa
jungle	ma kasi
palace	ma sawalak
cake	pan suwi
shallow	supa
bowl	poki
nose	nena
battery	ilo wawa
ring	kalama
chain	linja
pen	ilo pi sitelen toki
dollar	mani
money	mani
computer	ilo
positive	pona
bathroom	tomo telo
candle	ilo suno
commercial	esun
bicycle	sike tu
bridge	nasin pi noka suli
heart	ilo jan pi tawa pi telo loje
round	sike
photograph	sitelen
word	nimi
outside	ete
mouth	uta
grass	kasi anpa
peach	kili
airplane	tomo tawa kon
box	poki
platypus	soweli pi uta waso
bone	kiwen sijelo
aircraft	tomo tawa kon
toe	palisa lili noka
ten	luka luka
garbage	jaki
ant	pipi
video	sitelen tawa
eye	lukin
cup	poki
sand	ko
control	lawa
psychologist	jan sona pilin
sponge	ko pi jaki ala
important	suli
paste	ko
book	lipu
century	sike suno ale
picture	sitelen
door	lupa
scream	kalama
bow	kama anpa
song	kalama uta musi
sticky	taki
search	alasa
orange	kili pi loje jelo
mushroom	kili
darkness	pimeja
stone	kiwen
condom	ilo unpa
bus	tomo tawa suli
house	tomo
flag	len
egg	sike mama
spoon	ilo moku
card	lipu
dog	soweli tomo
america	ma Amelika
rain	telo sewi
pineapple	kili kiki
chicken	waso nasa
button	nena
giraffe	soweli pi noka lawa suli
cheese	ko tan telo soweli
coal	kiwen pimeja
band	kulupu pi ma kalama musi
ball	sike
needle	palisa lili
pool	tomo telo
glasses	ilo lukin
paper	lipu
clay	kiwen
light	pali e seli
husband	mije
bomb	ilo pi wawa utala
dinosaur	akesi suli
flower	kasi kule
lips	uta
hat	len lawa
school	tomo sona
ice	kiwen telo
balloon	sike kon
cookie	pan suwi lili
whale	kala suli
horse	soweli
chin	anpa pi sinpin lawa
lie	lape
bunny	soweli pi kute suli
mouse	misa
shoe	len noka
banana	kili palisa
apple	kili sike
mirror	jasima
wash	telo
pencil	ilo pi sitelen toki
bottle	poki
thread	linja
fabric	len
mine	mi
tooth	ijo uta walo
hail	telo kiwen lili
girl	meli
sheep	soweli len
spring	tenpo sike pali
candy	suwi
leg	noka
cube	leko
paint	kule
face	sinpin
star	mun
sauce	telo
circle	sike
stop	pake
ocean	telo suli
fishing	alasa e kala
fake	lon ala
glow	suno
leaf	kasi
worm	pipi linja
can	ken
pie	pan suwi
carrot	kili palisa
duck	waso telo
peasant	jan ma
beaver	misa telo
